0;0
0,997;100
0,9998;225
0,9978;400
0,9974;625
1,9948;900
1,9949;1225
2,5734;1600
2,9923;2025
3,2984;2500
4,0111;3025
5,3581;3600
6,0168;4225
7,059;4900
8,9809;5625
10,9681;6400
11,9661;7225
13,063;8100
15,0543;9025
