Entidades;Tiempo Dots
100;20.902
225;0.9963
400;19.944
625;29.909
900;55.289
1225;59.861
1600;80.165
2025;105.799
2500;142.666
3025;176.994
3600;21.94
4225;261.661
4900;308.791
5625;359.038
6400;519.494
7225;478.716
8100;53.173
9025;60.527
10000;658.236
