Entidades;Tiempo Mono
0;0
100;0
225;0.3238
400;0
625;0
900;0.9977
1225;0.9974
1600;29.912
2025;30.282
2500;39.904
3025;46.567
3600;50.739
4225;6.067
4900;8.016
5625;7.979
6400;109.706
7225;109.706
8100;120.145
9025;130.783
