Entidades;Tiempo Dots
0;0.000743151
225;0.0000501
400;0.000051
625;0.0000687
900;0.000156403
1225;0.000146866
1600;0.000141144
2025;0.000179291
2500;0.000244141
3025;0.000230789
3600;0.000312805
4225;0.000331879
4900;0.001205444
5625;0.000526428
6400;0.000461578
7225;0.000530243
8100;0.000602722
9025;0.000656128
10000;0.000747681
