Entidades;Tiempo Mono
100;3.203
225;55.118
400;116.438
625;189.494
900;269.279
1225;389.513
1600;498.665
2025;651.956
2500;812.053
3025;1012.196
3600;1232.722
4225;1378.984
4900;1640.034
5625;1892.482
6400;2027.994
7225;2573.419
8100;2692.938
9025;2956.826
10000;3163.962
