Entidades;Tiempo Dots
100;0.002029657
225;0.000713348
400;0.00004578
625;0.00007057
900;0.0000906
1225;0.000107765
1600;0.000155449
2025;0.000175476
2500;0.000214577
3025;0.000278473
3600;0.000318527
4225;0.000383377
4900;0.0004673
5625;0.000516892
6400;0.000572205
7225;0.000646591
8100;0.000720978
9025;0.000648499
10000;0.000751495
