Entidades;Tiempo Mono
0;0
100;0.997
225;0.9998
400;0.9978
625;0.9974
900;19.948
1225;19.949
1600;25.734
2025;29.923
2500;32.984
3025;40.111
3600;53.581
4225;60.168
4900;7.059
5625;89.809
6400;109.681
7225;119.661
8100;13.063
9025;150.543
